"","coordinate","Abs.600","GFP.flu","green.intensity","plate","OD.600","GFP","row","column"
"97","C01",0.0746000036597252,10280,3483,3,0.0263666696846485,10279.9833686126,3,1
"98","C01",0.0738999992609024,6303,2365,2,0.0256666652858257,6302.98381015658,3,1
"99","C01",0.0764999985694885,11025,2752,4,0.0282666645944118,11024.9821701468,3,1
"100","C01",0.0731000006198883,6381,2193,1,0.0248666666448116,6380.98431477424,3,1
"101","C02",0.0728000029921532,6942,3354,2,0.0245666690170765,6941.98450400469,3,2
"102","C02",0.0738999992609024,3257,43,1,0.0256666652858257,3256.98381015658,3,2
"103","C02",0.0715999975800514,7863,1677,3,0.0233666636049747,7862.98526093589,3,2
"104","C02",0.0763999968767166,10186,2666,4,0.0281666629016399,10185.9822332252,3,2
"105","C03",0.0710000023245811,6262,2838,2,0.0227666683495045,6261.98563939679,3,3
"106","C03",0.0772999972105026,11221,3483,4,0.0290666632354259,11220.9816655291,3,3
"107","C03",0.0727000012993813,5470,1247,1,0.0244666673243046,5469.98456708308,3,3
"108","C03",0.0716999992728233,6859,946,3,0.0234666652977467,6858.98519785751,3,3
"109","C04",0.0729999989271164,6660,3999,1,0.0247666649520397,6659.98437785263,3,4
"110","C04",0.0732000023126602,6549,1677,2,0.0249666683375835,6548.98425169586,3,4
"111","C04",0.0784000009298325,6078,430,4,0.0301666669547558,6077.98097167633,3,4
"112","C04",0.0723000019788742,5510,516,3,0.0240666680037975,5509.98481939191,3,4
"113","C05",0.0756999999284744,10767,4042,4,0.0274666659533978,10766.9826747645,3,5
"114","C05",0.0738999992609024,5526,1118,1,0.0256666652858257,5525.98381015658,3,5
"115","C05",0.0753000006079674,6543,1161,2,0.0270666666328907,6542.98292707331,3,5
"116","C05",0.0740000009536743,9396,2236,3,0.0257666669785976,9395.98374707819,3,5
"117","C06",0.0803999975323677,11465,2107,4,0.032166663557291,11464.9797101322,3,6
"118","C06",0.0740000009536743,5177,817,1,0.0257666669785976,5176.98374707819,3,6
"119","C06",0.0744000002741814,7329,1978,2,0.0261666662991047,7328.98349476936,3,6
"120","C06",0.0732999965548515,10701,4095,3,0.0250666625797749,10700.9841886222,3,6
"121","C07",0.0747999995946884,7253,2752,1,0.0265666656196117,7252.98324246053,3,7
"122","C07",0.0822999998927116,4098,86,4,0.034066665917635,4097.97851166168,3,7
"123","C07",0.0746999979019165,7779,3483,2,0.0264666639268398,7778.98330553891,3,7
"124","C07",0.0746000036597252,10021,2193,3,0.0263666696846485,10020.9833686126,3,7
"125","C08",0.0747999995946884,13538,3956,4,0.0265666656196117,13537.9832424605,3,8
"126","C08",0.0738999992609024,7436,2494,1,0.0256666652858257,7435.98381015658,3,8
"127","C08",0.0734999999403954,10625,3440,3,0.0252666659653187,10624.9840624654,3,8
"128","C08",0.0747999995946884,8576,3999,2,0.0265666656196117,8575.98324246053,3,8
"129","C09",0.0764999985694885,15008,3827,4,0.0282666645944118,15007.9821701468,3,9
"130","C09",0.0742999985814095,8278,2580,2,0.0260666646063328,8277.98355784775,3,9
"131","C09",0.0732000023126602,10959,3655,3,0.0249666683375835,10958.9842516959,3,9
"132","C09",0.0737000033259392,8203,3913,1,0.0254666693508625,8202.98393630864,3,9
"133","C10",0.0728999972343445,8599,3956,2,0.0246666632592678,8598.98444093101,3,10
"134","C10",0.0746000036597252,7550,1634,1,0.0263666696846485,7549.98336861259,3,10
"135","C10",0.0795999988913536,8060,645,4,0.0313666649162769,8059.98021474983,3,10
"136","C10",0.0741000026464462,8556,1290,3,0.0258666686713696,8555.98368399981,3,10
"137","C11",0.0738999992609024,9413,3440,1,0.0256666652858257,9412.98381015658,3,11
"138","C11",0.0724999979138374,8899,2709,2,0.0242666639387608,8898.98469323984,3,11
"139","C11",0.0759999975562096,14185,2924,4,0.0277666635811329,14184.982485534,3,11
"140","C11",0.0734999999403954,9906,1806,3,0.0252666659653187,9905.98406246541,3,11
"141","C12",0.0754999965429306,18034,3139,4,0.0272666625678539,18033.9828009212,3,12
"142","C12",0.0759999975562096,9048,2064,1,0.0277666635811329,9047.98248553403,3,12
"143","C12",0.0744000002741814,12802,4042,3,0.0261666662991047,12801.9834947694,3,12
"144","C12",0.0719000026583672,10328,3268,2,0.0236666686832905,10327.9850717007,3,12
"145","D01",0.0766000002622604,9029,1591,4,0.0283666662871838,9028.98210706843,4,1
"146","D01",0.0725999996066093,6154,2021,2,0.0243666656315327,6153.98463016146,4,1
"147","D01",0.0722000002861023,8164,2666,3,0.0239666663110256,8163.98488247029,4,1
"148","D01",0.0741999968886375,5724,1892,1,0.0259666629135609,5723.98362092613,4,1
"149","D02",0.0718000009655952,6713,4042,2,0.0235666669905186,6712.98513477913,4,2
"150","D02",0.0784000009298325,8711,1204,4,0.0301666669547558,8710.98097167633,4,2
"151","D02",0.0754999965429306,8694,2365,3,0.0272666625678539,8693.98280092125,4,2
"152","D02",0.0706999972462654,5640,2365,1,0.0224666632711887,5639.98582863194,4,2
"153","D03",0.0795999988913536,8647,989,4,0.0313666649162769,8646.98021474983,4,3
"154","D03",0.0737000033259392,6083,1333,2,0.0254666693508625,6082.98393630864,4,3
"155","D03",0.0728999972343445,8826,3397,3,0.0246666632592678,8825.98444093101,4,3
"156","D03",0.0737000033259392,6479,2967,1,0.0254666693508625,6478.98393630864,4,3
"157","D04",0.0724999979138374,7570,1419,3,0.0242666639387608,7569.98469323984,4,4
"158","D04",0.0728999972343445,6384,1204,2,0.0246666632592678,6383.98444093101,4,4
"159","D04",0.0732999965548515,5776,1462,1,0.0250666625797749,5775.98418862218,4,4
"160","D04",0.0747999995946884,12736,3870,4,0.0265666656196117,12735.9832424605,4,4
"161","D05",0.0751999989151955,4107,258,2,0.0269666649401188,4106.9829901517,4,5
"162","D05",0.0744000002741814,3490,86,1,0.0261666662991047,3489.98349476936,4,5
"163","D05",0.0724999979138374,11560,3311,4,0.0242666639387608,11559.9846932398,4,5
"164","D05",0.0741000026464462,9841,3010,3,0.0258666686713696,9840.98368399981,4,5
"165","D06",0.0724999979138374,5300,774,1,0.0242666639387608,5299.98469323984,4,6
"166","D06",0.0745000019669533,6388,860,2,0.0262666679918766,6387.98343169098,4,6
"167","D06",0.0781999975442886,13337,2322,4,0.029966663569212,13336.9810978331,4,6
"168","D06",0.0733999982476234,10126,3311,3,0.0251666642725468,10125.9841255438,4,6
"169","D07",0.0747999995946884,8759,3053,2,0.0265666656196117,8758.98324246053,4,7
"170","D07",0.0740000009536743,4948,645,1,0.0257666669785976,4947.98374707819,4,7
"171","D07",0.0776000022888184,14535,3397,4,0.0293666683137417,14534.981476294,4,7
"172","D07",0.0751999989151955,7187,731,3,0.0269666649401188,7186.9829901517,4,7
"173","D08",0.0808999985456467,3982,43,4,0.03266666457057,3981.97939474495,4,8
"174","D08",0.0731000006198883,8023,3784,1,0.0248666666448116,8022.98431477424,4,8
"175","D08",0.0740000009536743,9902,2881,3,0.0257666669785976,9901.98374707819,4,8
"176","D08",0.0747999995946884,7266,1247,2,0.0265666656196117,7265.98324246053,4,8
"177","D09",0.0776999965310097,13579,2236,4,0.029466662555933,13578.9814132203,4,9
"178","D09",0.0741999968886375,6493,989,1,0.0259666629135609,6492.98362092613,4,9
"179","D09",0.0753000006079674,6022,430,3,0.0270666666328907,6021.98292707331,4,9
"180","D09",0.0750000029802322,9324,3182,2,0.0267666690051556,9323.98311630376,4,9
"181","D10",0.0749000012874603,8181,1806,1,0.0266666673123837,8180.98317938214,4,10
"182","D10",0.0768000036478043,9079,602,4,0.0285666696727276,9078.98198091166,4,10
"183","D10",0.0763000026345253,6169,602,2,0.0280666686594486,6168.98229629888,4,10
"184","D10",0.0742999985814095,4314,215,3,0.0260666646063328,4313.98355784774,4,10
"185","D11",0.0776000022888184,4080,86,2,0.0293666683137417,4079.981476294,4,11
"186","D11",0.0763000026345253,9560,731,4,0.0280666686594486,9559.98229629888,4,11
"187","D11",0.0742999985814095,7907,1548,1,0.0260666646063328,7906.98355784774,4,11
"188","D11",0.0751999989151955,12297,3870,3,0.0269666649401188,12296.9829901517,4,11
"189","D12",0.0750000029802322,17580,2838,4,0.0267666690051556,17579.9831163038,4,12
"190","D12",0.0762000009417534,11962,3612,2,0.0279666669666767,11961.9823593773,4,12
"191","D12",0.0758000016212463,9955,1376,3,0.0275666676461697,9954.98261168609,4,12
"192","D12",0.0768999978899956,9198,1935,1,0.0286666639149189,9197.98191783798,4,12
"193","E01",0.0790999978780746,5039,301,4,0.030866663902998,5038.98053013705,5,1
"194","E01",0.0729999989271164,5651,1720,2,0.0247666649520397,5650.98437785263,5,1
"195","E01",0.0756999999284744,9305,3784,3,0.0274666659533978,9304.98267476448,5,1
"196","E01",0.0689999982714653,5411,2795,1,0.0207666642963886,5410.98690094566,5,1
"197","E02",0.0715999975800514,6013,2322,2,0.0233666636049747,6012.98526093589,5,2
"198","E02",0.0781999975442886,10546,2408,4,0.029966663569212,10545.9810978331,5,2
"199","E02",0.0731000006198883,4572,688,1,0.0248666666448116,4571.98431477424,5,2
"200","E02",0.0760999992489815,8371,3096,3,0.0278666652739048,8370.98242245565,5,2
"201","E03",0.0741999968886375,5966,1118,2,0.0259666629135609,5965.98362092613,5,3
"202","E03",0.0759999975562096,7569,1032,3,0.0277666635811329,7568.98248553403,5,3
"203","E03",0.0728000029921532,5864,1978,1,0.0245666690170765,5863.98450400469,5,3
"204","E03",0.0776000022888184,11206,2881,4,0.0293666683137417,11205.981476294,5,3
"205","E04",0.0720999985933304,8669,3053,3,0.0238666646182537,8668.98494554868,5,4
"206","E04",0.0736000016331673,7299,2795,2,0.0253666676580906,7298.98399938703,5,4
"207","E04",0.0776000022888184,13054,3784,4,0.0293666683137417,13053.981476294,5,4
"208","E04",0.0756999999284744,6164,1333,1,0.0274666659533978,6163.98267476448,5,4
"209","E05",0.0754999965429306,6454,688,3,0.0272666625678539,6453.98280092125,5,5
"210","E05",0.0734999999403954,7537,2451,2,0.0252666659653187,7536.98406246541,5,5
"211","E05",0.0771000012755394,10690,1720,4,0.0288666673004627,10689.9817916812,5,5
"212","E05",0.0720999985933304,6416,2838,1,0.0238666646182537,6415.98494554868,5,5
"213","E06",0.0754000023007393,4279,215,2,0.0271666683256626,4278.98286399493,5,6
"214","E06",0.0728000029921532,7006,3741,1,0.0245666690170765,7005.98450400469,5,6
"215","E06",0.0784000009298325,9857,1075,4,0.0301666669547558,9856.98097167633,5,6
"216","E06",0.0746000036597252,6240,602,3,0.0263666696846485,6239.98336861259,5,6
