coordinate,contents
B03,JT2
C03,M9.cas
B04,JT2
C04,M9.cas
B05,JT2
C05,M9.cas
B06,M9
C06,JT2.supernatant.2
B07,M9
C07,JT2.supernatant.2
B08,M9
C08,JT2.supernatant.2
B09,JT2.supernatant
C09,
B10,JT2.supernatant
C10,
B11,JT2.supernatant
C11,
